,id,idioms,ABnn,AnBn,AnnB,nABn,nAnB,nnAB,PTT_WomenTalk,China_text,Apple_text,PTT_Hate,PTT_Gossiping,PTT_AllTogether,pooled
865,866,二意三心,0,0,0,0,1,0,0,0,0,0,0,0,0
666,667,七拼八補,0,0,0,0,1,0,0,0,0,0,0,0,0
665,666,三十六行,0,0,1,0,1,1,0,0,0,0,0,0,0
664,665,以一擊十,0,1,0,0,0,0,0,0,0,0,0,0,0
866,867,千岩萬谷,0,0,0,0,1,0,0,0,0,0,0,0,0
867,868,一夕五起,0,0,0,0,1,0,0,0,0,0,0,0,0
661,662,萬卉千葩,0,0,0,0,1,0,0,0,0,0,0,0,0
868,869,語四言三,0,1,0,0,0,0,0,0,0,0,0,0,0
659,660,萬選萬中,0,0,0,0,1,0,0,0,0,0,0,0,0
957,958,千思百計,0,0,0,0,1,0,0,0,0,0,0,0,0
958,959,拉三扯四,0,1,0,0,0,0,0,0,0,0,0,0,0
656,657,十日一雨,0,0,0,0,1,0,0,0,0,0,0,0,0
655,656,千金一壺,0,0,0,0,1,0,0,0,0,0,0,0,0
869,870,三戰三北,0,0,0,0,1,0,0,0,0,0,0,0,0
654,655,百杯百篇,0,0,0,0,1,0,0,0,0,0,0,0,0
653,654,屈一伸萬,0,1,0,0,0,0,0,0,0,0,0,0,0
652,653,五經四書,0,0,0,0,1,0,0,0,0,0,0,0,0
628,629,三街六巷,0,0,0,0,1,0,0,0,0,0,0,0,0
650,651,三等九格,0,0,0,0,1,0,0,0,0,0,0,0,0
649,650,一歲九遷,0,0,0,0,1,0,0,0,0,0,0,0,0
648,649,五穀五分,0,0,0,0,1,0,0,0,0,0,0,0,0
874,875,一心一計,0,0,0,0,1,0,0,0,0,0,0,0,0
870,871,千愁萬緒,0,0,0,0,1,0,0,0,0,0,0,0,0
621,622,七生八熟,0,0,0,0,1,0,0,0,0,0,0,0,0
627,628,察三訪四,0,1,0,0,0,0,0,0,0,0,0,0,0
587,588,七死八活,0,0,0,0,1,0,0,0,0,0,0,0,0
918,919,百二山河,0,0,0,0,0,1,0,0,0,0,0,0,0
